TiempoID,Fecha,Año,Trimestre,Mes,NombreMes,Semana,DiaSemana
1,2024-06-24,2024,2,6,June,26,Monday
2,2024-06-25,2024,2,6,June,26,Tuesday
3,2024-06-26,2024,2,6,June,26,Wednesday
4,2024-06-27,2024,2,6,June,26,Thursday
5,2024-06-28,2024,2,6,June,26,Friday
6,2024-06-29,2024,2,6,June,26,Saturday
7,2024-06-30,2024,2,6,June,26,Sunday
8,2024-07-01,2024,3,7,July,27,Monday
9,2024-07-02,2024,3,7,July,27,Tuesday
10,2024-07-03,2024,3,7,July,27,Wednesday
11,2024-07-04,2024,3,7,July,27,Thursday
12,2024-07-05,2024,3,7,July,27,Friday
13,2024-07-06,2024,3,7,July,27,Saturday
14,2024-07-07,2024,3,7,July,27,Sunday
15,2024-07-08,2024,3,7,July,28,Monday
16,2024-07-09,2024,3,7,July,28,Tuesday
17,2024-07-10,2024,3,7,July,28,Wednesday
18,2024-07-11,2024,3,7,July,28,Thursday
19,2024-07-12,2024,3,7,July,28,Friday
20,2024-07-13,2024,3,7,July,28,Saturday
21,2024-07-14,2024,3,7,July,28,Sunday
22,2024-07-15,2024,3,7,July,29,Monday
23,2024-07-16,2024,3,7,July,29,Tuesday
24,2024-07-17,2024,3,7,July,29,Wednesday
25,2024-07-18,2024,3,7,July,29,Thursday
26,2024-07-19,2024,3,7,July,29,Friday
27,2024-07-20,2024,3,7,July,29,Saturday
28,2024-07-21,2024,3,7,July,29,Sunday
29,2024-07-22,2024,3,7,July,30,Monday
30,2024-07-23,2024,3,7,July,30,Tuesday
31,2024-07-24,2024,3,7,July,30,Wednesday
32,2024-07-25,2024,3,7,July,30,Thursday
33,2024-07-26,2024,3,7,July,30,Friday
34,2024-07-27,2024,3,7,July,30,Saturday
35,2024-07-28,2024,3,7,July,30,Sunday
36,2024-07-29,2024,3,7,July,31,Monday
37,2024-07-30,2024,3,7,July,31,Tuesday
38,2024-07-31,2024,3,7,July,31,Wednesday
39,2024-08-01,2024,3,8,August,31,Thursday
40,2024-08-02,2024,3,8,August,31,Friday
41,2024-08-03,2024,3,8,August,31,Saturday
42,2024-08-04,2024,3,8,August,31,Sunday
43,2024-08-05,2024,3,8,August,32,Monday
44,2024-08-06,2024,3,8,August,32,Tuesday
45,2024-08-07,2024,3,8,August,32,Wednesday
46,2024-08-08,2024,3,8,August,32,Thursday
47,2024-08-09,2024,3,8,August,32,Friday
48,2024-08-10,2024,3,8,August,32,Saturday
49,2024-08-11,2024,3,8,August,32,Sunday
50,2024-08-12,2024,3,8,August,33,Monday
51,2024-08-13,2024,3,8,August,33,Tuesday
52,2024-08-14,2024,3,8,August,33,Wednesday
53,2024-08-15,2024,3,8,August,33,Thursday
54,2024-08-16,2024,3,8,August,33,Friday
55,2024-08-17,2024,3,8,August,33,Saturday
56,2024-08-18,2024,3,8,August,33,Sunday
57,2024-08-19,2024,3,8,August,34,Monday
58,2024-08-20,2024,3,8,August,34,Tuesday
59,2024-08-21,2024,3,8,August,34,Wednesday
60,2024-08-22,2024,3,8,August,34,Thursday
61,2024-08-23,2024,3,8,August,34,Friday
62,2024-08-24,2024,3,8,August,34,Saturday
63,2024-08-25,2024,3,8,August,34,Sunday
64,2024-08-26,2024,3,8,August,35,Monday
65,2024-08-27,2024,3,8,August,35,Tuesday
66,2024-08-28,2024,3,8,August,35,Wednesday
67,2024-08-29,2024,3,8,August,35,Thursday
68,2024-08-30,2024,3,8,August,35,Friday
69,2024-08-31,2024,3,8,August,35,Saturday
70,2024-09-01,2024,3,9,September,35,Sunday
71,2024-09-02,2024,3,9,September,36,Monday
72,2024-09-03,2024,3,9,September,36,Tuesday
73,2024-09-04,2024,3,9,September,36,Wednesday
74,2024-09-05,2024,3,9,September,36,Thursday
75,2024-09-06,2024,3,9,September,36,Friday
76,2024-09-07,2024,3,9,September,36,Saturday
77,2024-09-08,2024,3,9,September,36,Sunday
78,2024-09-09,2024,3,9,September,37,Monday
79,2024-09-10,2024,3,9,September,37,Tuesday
80,2024-09-11,2024,3,9,September,37,Wednesday
81,2024-09-12,2024,3,9,September,37,Thursday
82,2024-09-13,2024,3,9,September,37,Friday
83,2024-09-14,2024,3,9,September,37,Saturday
84,2024-09-15,2024,3,9,September,37,Sunday
85,2024-09-16,2024,3,9,September,38,Monday
86,2024-09-17,2024,3,9,September,38,Tuesday
87,2024-09-18,2024,3,9,September,38,Wednesday
88,2024-09-19,2024,3,9,September,38,Thursday
89,2024-09-20,2024,3,9,September,38,Friday
90,2024-09-21,2024,3,9,September,38,Saturday
91,2024-09-22,2024,3,9,September,38,Sunday
92,2024-09-23,2024,3,9,September,39,Monday
93,2024-09-24,2024,3,9,September,39,Tuesday
94,2024-09-25,2024,3,9,September,39,Wednesday
95,2024-09-26,2024,3,9,September,39,Thursday
96,2024-09-27,2024,3,9,September,39,Friday
97,2024-09-28,2024,3,9,September,39,Saturday
98,2024-09-29,2024,3,9,September,39,Sunday
99,2024-09-30,2024,3,9,September,40,Monday
100,2024-10-01,2024,4,10,October,40,Tuesday
101,2024-10-02,2024,4,10,October,40,Wednesday
102,2024-10-03,2024,4,10,October,40,Thursday
103,2024-10-04,2024,4,10,October,40,Friday
104,2024-10-05,2024,4,10,October,40,Saturday
105,2024-10-06,2024,4,10,October,40,Sunday
106,2024-10-07,2024,4,10,October,41,Monday
107,2024-10-08,2024,4,10,October,41,Tuesday
108,2024-10-09,2024,4,10,October,41,Wednesday
109,2024-10-10,2024,4,10,October,41,Thursday
110,2024-10-11,2024,4,10,October,41,Friday
111,2024-10-12,2024,4,10,October,41,Saturday
112,2024-10-13,2024,4,10,October,41,Sunday
113,2024-10-14,2024,4,10,October,42,Monday
114,2024-10-15,2024,4,10,October,42,Tuesday
115,2024-10-16,2024,4,10,October,42,Wednesday
116,2024-10-17,2024,4,10,October,42,Thursday
117,2024-10-18,2024,4,10,October,42,Friday
118,2024-10-19,2024,4,10,October,42,Saturday
119,2024-10-20,2024,4,10,October,42,Sunday
120,2024-10-21,2024,4,10,October,43,Monday
121,2024-10-22,2024,4,10,October,43,Tuesday
122,2024-10-23,2024,4,10,October,43,Wednesday
123,2024-10-24,2024,4,10,October,43,Thursday
124,2024-10-25,2024,4,10,October,43,Friday
125,2024-10-26,2024,4,10,October,43,Saturday
126,2024-10-27,2024,4,10,October,43,Sunday
127,2024-10-28,2024,4,10,October,44,Monday
128,2024-10-29,2024,4,10,October,44,Tuesday
129,2024-10-30,2024,4,10,October,44,Wednesday
130,2024-10-31,2024,4,10,October,44,Thursday
131,2024-11-01,2024,4,11,November,44,Friday
132,2024-11-02,2024,4,11,November,44,Saturday
133,2024-11-03,2024,4,11,November,44,Sunday
134,2024-11-04,2024,4,11,November,45,Monday
135,2024-11-05,2024,4,11,November,45,Tuesday
136,2024-11-06,2024,4,11,November,45,Wednesday
137,2024-11-07,2024,4,11,November,45,Thursday
138,2024-11-08,2024,4,11,November,45,Friday
139,2024-11-09,2024,4,11,November,45,Saturday
140,2024-11-10,2024,4,11,November,45,Sunday
141,2024-11-11,2024,4,11,November,46,Monday
142,2024-11-12,2024,4,11,November,46,Tuesday
143,2024-11-13,2024,4,11,November,46,Wednesday
144,2024-11-14,2024,4,11,November,46,Thursday
145,2024-11-15,2024,4,11,November,46,Friday
