FactID,GeografiaID,EstudianteID,TiempoID,TotalPrompts,SessionLengthMin,NumeroSesiones,ConsumoAguaEstimado,FactorConsumoLitros
1,7,17,133,11,31.2,1,5.5,0.5
2,20,21,63,6,13.09,1,3.0,0.5
3,15,16,203,5,19.22,1,2.5,0.5
4,11,17,317,1,3.7,1,0.5,0.5
5,8,21,268,9,28.12,1,4.5,0.5
6,7,2,208,1,7.54,1,0.5,0.5
7,19,8,76,3,14.6,1,1.5,0.5
8,11,15,186,3,9.2,1,1.5,0.5
9,11,16,360,1,8.15,1,0.5,0.5
10,4,20,295,1,5.57,1,0.5,0.5
11,8,13,246,6,24.52,1,3.0,0.5
12,3,21,137,5,11.51,1,2.5,0.5
13,2,19,12,6,15.47,1,3.0,0.5
14,12,16,133,5,24.13,1,2.5,0.5
15,6,10,332,8,22.51,1,4.0,0.5
16,2,14,152,6,22.16,1,3.0,0.5
17,1,16,308,2,6.46,1,1.0,0.5
18,12,8,294,4,18.36,1,2.0,0.5
19,12,20,168,4,18.26,1,2.0,0.5
20,17,11,41,6,19.36,1,3.0,0.5
21,10,18,314,11,26.79,1,5.5,0.5
22,16,16,200,2,11.11,1,1.0,0.5
23,15,15,302,8,19.87,1,4.0,0.5
24,15,20,316,4,17.65,1,2.0,0.5
25,19,7,157,3,8.1,1,1.5,0.5
26,12,15,83,2,11.86,1,1.0,0.5
27,20,19,66,2,6.42,1,1.0,0.5
28,3,13,74,7,27.55,1,3.5,0.5
29,5,21,242,6,27.28,1,3.0,0.5
30,19,18,248,2,5.03,1,1.0,0.5
31,7,8,188,6,23.79,1,3.0,0.5
32,9,17,301,7,19.04,1,3.5,0.5
33,7,14,228,10,22.89,1,5.0,0.5
34,18,16,291,4,10.59,1,2.0,0.5
35,4,20,271,7,25.1,1,3.5,0.5
36,14,15,26,1,5.76,1,0.5,0.5
37,18,18,290,8,33.79,1,4.0,0.5
38,9,21,89,5,13.64,1,2.5,0.5
39,2,8,325,1,2.48,1,0.5,0.5
40,20,4,256,3,11.77,1,1.5,0.5
41,15,17,363,15,33.29,1,7.5,0.5
42,7,15,355,6,20.27,1,3.0,0.5
43,12,12,304,7,33.63,1,3.5,0.5
44,8,21,192,1,4.54,1,0.5,0.5
45,15,15,217,3,15.08,1,1.5,0.5
46,3,13,300,6,27.97,1,3.0,0.5
47,14,11,178,12,46.11,1,6.0,0.5
48,17,15,151,4,13.25,1,2.0,0.5
49,4,4,126,6,16.9,1,3.0,0.5
50,18,5,250,5,28.49,1,2.5,0.5
51,8,21,144,3,13.43,1,1.5,0.5
52,4,2,78,11,22.72,1,5.5,0.5
53,2,17,350,1,7.98,1,0.5,0.5
54,6,8,17,3,15.52,1,1.5,0.5
55,10,21,15,2,6.98,1,1.0,0.5
56,4,18,176,2,6.25,1,1.0,0.5
57,18,11,74,19,58.92,1,9.5,0.5
58,12,15,2,4,9.56,1,2.0,0.5
59,2,9,222,9,31.58,1,4.5,0.5
60,10,7,139,1,2.38,1,0.5,0.5
61,4,17,7,6,17.72,1,3.0,0.5
62,14,20,259,7,14.78,1,3.5,0.5
63,16,17,363,2,10.6,1,1.0,0.5
64,15,16,145,1,5.47,1,0.5,0.5
65,8,14,252,2,12.2,1,1.0,0.5
66,14,15,132,3,8.89,1,1.5,0.5
67,8,17,162,1,6.84,1,0.5,0.5
68,16,16,292,2,12.79,1,1.0,0.5
69,13,19,326,12,41.2,1,6.0,0.5
70,18,3,3,6,16.56,1,3.0,0.5
71,15,18,123,3,10.4,1,1.5,0.5
72,13,16,335,5,11.04,1,2.5,0.5
73,9,20,180,1,5.3,1,0.5,0.5
74,15,11,34,4,14.02,1,2.0,0.5
75,13,14,53,10,49.67,1,5.0,0.5
76,1,1,328,3,13.4,1,1.5,0.5
77,7,18,38,8,26.8,1,4.0,0.5
78,9,19,231,1,7.29,1,0.5,0.5
79,1,2,203,20,48.37,1,10.0,0.5
80,12,19,219,13,37.05,1,6.5,0.5
81,8,19,298,6,15.94,1,3.0,0.5
82,11,17,46,4,16.4,1,2.0,0.5
83,19,20,231,7,19.56,1,3.5,0.5
84,17,2,53,2,11.48,1,1.0,0.5
85,8,16,184,3,16.28,1,1.5,0.5
86,3,13,192,2,7.34,1,1.0,0.5
87,3,2,215,3,16.32,1,1.5,0.5
88,1,9,215,5,14.88,1,2.5,0.5
89,5,19,282,4,14.59,1,2.0,0.5
90,10,16,296,1,4.65,1,0.5,0.5
91,7,17,133,8,24.83,1,4.0,0.5
92,9,15,47,2,10.39,1,1.0,0.5
93,7,20,243,16,35.49,1,8.0,0.5
94,9,5,315,3,12.9,1,1.5,0.5
95,8,9,13,2,9.77,1,1.0,0.5
96,12,1,306,4,11.12,1,2.0,0.5
97,2,12,325,14,30.82,1,7.0,0.5
98,1,18,248,7,27.26,1,3.5,0.5
99,16,20,124,3,11.17,1,1.5,0.5
100,5,7,96,1,4.68,1,0.5,0.5
101,3,1,122,5,24.33,1,2.5,0.5
102,12,18,209,4,16.16,1,2.0,0.5
103,8,16,320,3,8.75,1,1.5,0.5
104,3,21,166,3,14.9,1,1.5,0.5
105,1,15,114,5,14.8,1,2.5,0.5
106,3,16,16,2,7.82,1,1.0,0.5
107,5,21,334,8,39.45,1,4.0,0.5
108,15,9,42,4,16.63,1,2.0,0.5
109,14,6,22,16,41.83,1,8.0,0.5
110,3,4,365,6,15.97,1,3.0,0.5
111,1,3,117,16,39.43,1,8.0,0.5
112,5,15,259,7,28.36,1,3.5,0.5
113,14,15,54,5,10.94,1,2.5,0.5
114,7,21,271,6,25.5,1,3.0,0.5
115,9,13,101,9,23.19,1,4.5,0.5
116,15,9,317,3,13.61,1,1.5,0.5
