idGeografia,Pais,Anio,Nivel_Escasez_Agua
1,Argentina,2000,Moderate
2,Argentina,2001,Moderate
3,Argentina,2002,Moderate
4,Argentina,2003,Moderate
5,Argentina,2004,Moderate
6,Argentina,2005,Moderate
7,Argentina,2006,Moderate
8,Argentina,2007,Moderate
9,Argentina,2008,Moderate
10,Argentina,2009,Moderate
11,Argentina,2010,Moderate
12,Argentina,2011,Moderate
13,Argentina,2012,Moderate
14,Argentina,2013,Moderate
15,Argentina,2014,Moderate
16,Argentina,2015,Moderate
17,Argentina,2016,Moderate
18,Argentina,2017,Moderate
19,Argentina,2018,Moderate
20,Argentina,2019,Moderate
21,Argentina,2020,Moderate
22,Argentina,2021,Moderate
23,Argentina,2022,Moderate
24,Argentina,2023,Moderate
25,Argentina,2024,Low
26,Australia,2000,Moderate
27,Australia,2001,Moderate
28,Australia,2002,Moderate
29,Australia,2003,Moderate
30,Australia,2004,Moderate
31,Australia,2005,Moderate
32,Australia,2006,Moderate
33,Australia,2007,Moderate
34,Australia,2008,Moderate
35,Australia,2009,Moderate
36,Australia,2010,Moderate
37,Australia,2011,Moderate
38,Australia,2012,Moderate
39,Australia,2013,Moderate
40,Australia,2014,Moderate
41,Australia,2015,Moderate
42,Australia,2016,Moderate
43,Australia,2017,Low
44,Australia,2018,Moderate
45,Australia,2019,Moderate
46,Australia,2020,Moderate
47,Australia,2021,Moderate
48,Australia,2022,Moderate
49,Australia,2023,Low
50,Australia,2024,Moderate
51,Brazil,2000,Moderate
52,Brazil,2001,Moderate
53,Brazil,2002,Moderate
54,Brazil,2003,Low
55,Brazil,2004,Moderate
56,Brazil,2005,Moderate
57,Brazil,2006,Moderate
58,Brazil,2007,Moderate
59,Brazil,2008,Moderate
60,Brazil,2009,Moderate
61,Brazil,2010,Moderate
62,Brazil,2011,Moderate
63,Brazil,2012,Low
64,Brazil,2013,High
65,Brazil,2014,Low
66,Brazil,2015,Low
67,Brazil,2016,Moderate
68,Brazil,2017,Moderate
69,Brazil,2018,Moderate
70,Brazil,2019,Moderate
71,Brazil,2020,Moderate
72,Brazil,2021,Moderate
73,Brazil,2022,Moderate
74,Brazil,2023,Low
75,Brazil,2024,Low
76,Canada,2000,Moderate
77,Canada,2001,Low
78,Canada,2002,Low
79,Canada,2003,High
80,Canada,2004,Low
81,Canada,2005,Moderate
82,Canada,2006,Low
83,Canada,2007,Moderate
84,Canada,2008,Moderate
85,Canada,2009,Moderate
86,Canada,2010,Moderate
87,Canada,2011,Low
88,Canada,2012,Moderate
89,Canada,2013,High
90,Canada,2014,High
91,Canada,2015,Low
92,Canada,2016,Moderate
93,Canada,2017,High
94,Canada,2018,Low
95,Canada,2019,Low
96,Canada,2020,Low
97,Canada,2021,Moderate
98,Canada,2022,Moderate
99,Canada,2023,Low
100,Canada,2024,Moderate
101,China,2000,Low
102,China,2001,Low
103,China,2002,Moderate
104,China,2003,Moderate
105,China,2004,Low
106,China,2005,Moderate
107,China,2006,Moderate
108,China,2007,Moderate
109,China,2008,Moderate
110,China,2009,Moderate
111,China,2010,Moderate
112,China,2011,Moderate
113,China,2012,Moderate
114,China,2013,Moderate
115,China,2014,Moderate
116,China,2015,High
117,China,2016,Moderate
118,China,2017,Moderate
119,China,2018,Low
120,China,2019,Moderate
121,China,2020,Moderate
122,China,2021,Moderate
123,China,2022,Moderate
124,China,2023,Low
125,China,2024,Moderate
126,France,2000,Moderate
127,France,2001,Moderate
128,France,2002,Moderate
129,France,2003,Low
130,France,2004,Low
131,France,2005,Moderate
132,France,2006,Moderate
133,France,2007,Moderate
134,France,2008,Low
135,France,2009,Moderate
136,France,2010,Moderate
137,France,2011,Moderate
138,France,2012,Low
139,France,2013,Low
140,France,2014,Moderate
141,France,2015,Moderate
142,France,2016,Low
143,France,2017,Moderate
144,France,2018,Moderate
145,France,2019,Low
146,France,2020,Moderate
147,France,2021,Moderate
148,France,2022,Moderate
149,France,2023,Moderate
150,France,2024,Moderate
151,Germany,2000,Moderate
152,Germany,2001,Moderate
153,Germany,2002,Moderate
154,Germany,2003,Moderate
155,Germany,2004,High
156,Germany,2005,Moderate
157,Germany,2006,Moderate
158,Germany,2007,Moderate
159,Germany,2008,Moderate
160,Germany,2009,Moderate
161,Germany,2010,Moderate
162,Germany,2011,High
163,Germany,2012,Moderate
164,Germany,2013,Low
165,Germany,2014,Moderate
166,Germany,2015,Low
167,Germany,2016,Moderate
168,Germany,2017,Moderate
169,Germany,2018,Moderate
170,Germany,2019,Moderate
171,Germany,2020,Moderate
172,Germany,2021,Moderate
173,Germany,2022,Moderate
174,Germany,2023,Moderate
175,Germany,2024,Moderate
176,India,2000,Low
177,India,2001,Moderate
178,India,2002,Low
179,India,2003,Moderate
180,India,2004,Moderate
181,India,2005,Low
182,India,2006,Moderate
183,India,2007,Low
184,India,2008,Low
185,India,2009,Moderate
186,India,2010,Low
187,India,2011,Moderate
188,India,2012,Low
189,India,2013,Moderate
190,India,2014,Moderate
191,India,2015,Moderate
192,India,2016,Low
193,India,2017,Moderate
194,India,2018,Moderate
195,India,2019,Moderate
196,India,2020,Moderate
197,India,2021,Moderate
198,India,2022,Low
199,India,2023,Moderate
200,India,2024,Low
201,Indonesia,2000,Moderate
202,Indonesia,2001,Moderate
203,Indonesia,2002,Moderate
204,Indonesia,2003,Moderate
205,Indonesia,2004,Low
206,Indonesia,2005,High
207,Indonesia,2006,Low
208,Indonesia,2007,Low
209,Indonesia,2008,High
210,Indonesia,2009,Low
211,Indonesia,2010,Low
212,Indonesia,2011,Moderate
213,Indonesia,2012,Moderate
214,Indonesia,2013,Moderate
215,Indonesia,2014,Low
216,Indonesia,2015,Moderate
217,Indonesia,2016,Moderate
218,Indonesia,2017,Moderate
219,Indonesia,2018,Moderate
220,Indonesia,2019,Moderate
221,Indonesia,2020,Moderate
222,Indonesia,2021,Moderate
223,Indonesia,2022,Moderate
224,Indonesia,2023,Moderate
225,Indonesia,2024,Low
226,Italy,2000,Low
227,Italy,2001,Moderate
228,Italy,2002,Moderate
229,Italy,2003,Moderate
230,Italy,2004,High
231,Italy,2005,Moderate
232,Italy,2006,Moderate
233,Italy,2007,Moderate
234,Italy,2008,Low
235,Italy,2009,Moderate
236,Italy,2010,Low
237,Italy,2011,Moderate
238,Italy,2012,Moderate
239,Italy,2013,Moderate
240,Italy,2014,Low
241,Italy,2015,Moderate
242,Italy,2016,Moderate
243,Italy,2017,Low
244,Italy,2018,Moderate
245,Italy,2019,Low
246,Italy,2020,Low
247,Italy,2021,Moderate
248,Italy,2022,Moderate
249,Italy,2023,Moderate
250,Italy,2024,Low
251,Japan,2000,Moderate
252,Japan,2001,Moderate
253,Japan,2002,Moderate
254,Japan,2003,Moderate
255,Japan,2004,Moderate
256,Japan,2005,Low
257,Japan,2006,Low
258,Japan,2007,Moderate
259,Japan,2008,Moderate
260,Japan,2009,Moderate
261,Japan,2010,Moderate
262,Japan,2011,Low
263,Japan,2012,Moderate
264,Japan,2013,Moderate
265,Japan,2014,Moderate
266,Japan,2015,Moderate
267,Japan,2016,Moderate
268,Japan,2017,Moderate
269,Japan,2018,Moderate
270,Japan,2019,Moderate
271,Japan,2020,Moderate
272,Japan,2021,Low
273,Japan,2022,Moderate
274,Japan,2023,Low
275,Japan,2024,Moderate
276,Mexico,2000,Moderate
277,Mexico,2001,Moderate
278,Mexico,2002,High
279,Mexico,2003,Low
280,Mexico,2004,Low
281,Mexico,2005,Moderate
282,Mexico,2006,Low
283,Mexico,2007,Moderate
284,Mexico,2008,Moderate
285,Mexico,2009,Moderate
286,Mexico,2010,Moderate
287,Mexico,2011,Moderate
288,Mexico,2012,Moderate
289,Mexico,2013,Moderate
290,Mexico,2014,Low
291,Mexico,2015,Moderate
292,Mexico,2016,Moderate
293,Mexico,2017,Moderate
294,Mexico,2018,Low
295,Mexico,2019,Moderate
296,Mexico,2020,Moderate
297,Mexico,2021,Moderate
298,Mexico,2022,Low
299,Mexico,2023,Moderate
300,Mexico,2024,Moderate
301,Russia,2000,Moderate
302,Russia,2001,Moderate
303,Russia,2002,Moderate
304,Russia,2003,Low
305,Russia,2004,Moderate
306,Russia,2005,Moderate
307,Russia,2006,Moderate
308,Russia,2007,Moderate
309,Russia,2008,Moderate
310,Russia,2009,Low
311,Russia,2010,Low
312,Russia,2011,Moderate
313,Russia,2012,Moderate
314,Russia,2013,Moderate
315,Russia,2014,Moderate
316,Russia,2015,Low
317,Russia,2016,Low
318,Russia,2017,Low
319,Russia,2018,Low
320,Russia,2019,Moderate
321,Russia,2020,Low
322,Russia,2021,Moderate
323,Russia,2022,Moderate
324,Russia,2023,Moderate
325,Russia,2024,Low
326,"Saudi Arabia",2000,Low
327,"Saudi Arabia",2001,Moderate
328,"Saudi Arabia",2002,Low
329,"Saudi Arabia",2003,Moderate
330,"Saudi Arabia",2004,Low
331,"Saudi Arabia",2005,High
332,"Saudi Arabia",2006,Moderate
333,"Saudi Arabia",2007,Low
334,"Saudi Arabia",2008,Moderate
335,"Saudi Arabia",2009,Moderate
336,"Saudi Arabia",2010,Low
337,"Saudi Arabia",2011,Low
338,"Saudi Arabia",2012,Moderate
339,"Saudi Arabia",2013,Moderate
340,"Saudi Arabia",2014,Moderate
341,"Saudi Arabia",2015,Moderate
342,"Saudi Arabia",2016,High
343,"Saudi Arabia",2017,Moderate
344,"Saudi Arabia",2018,Low
345,"Saudi Arabia",2019,Moderate
346,"Saudi Arabia",2020,Moderate
347,"Saudi Arabia",2021,Moderate
348,"Saudi Arabia",2022,Moderate
349,"Saudi Arabia",2023,Moderate
350,"Saudi Arabia",2024,Moderate
351,"South Africa",2000,Moderate
352,"South Africa",2001,Moderate
353,"South Africa",2002,Low
354,"South Africa",2003,Low
355,"South Africa",2004,Low
356,"South Africa",2005,Moderate
357,"South Africa",2006,Low
358,"South Africa",2007,Moderate
359,"South Africa",2008,Moderate
360,"South Africa",2009,Moderate
361,"South Africa",2010,Moderate
362,"South Africa",2011,Moderate
363,"South Africa",2012,Moderate
364,"South Africa",2013,Moderate
365,"South Africa",2014,Moderate
366,"South Africa",2015,Moderate
367,"South Africa",2016,Moderate
368,"South Africa",2017,Moderate
369,"South Africa",2018,Low
370,"South Africa",2019,Moderate
371,"South Africa",2020,Moderate
372,"South Africa",2021,Moderate
373,"South Africa",2022,Moderate
374,"South Africa",2023,Low
375,"South Africa",2024,Moderate
376,"South Korea",2000,Moderate
377,"South Korea",2001,Moderate
378,"South Korea",2002,Moderate
379,"South Korea",2003,Moderate
380,"South Korea",2004,Low
381,"South Korea",2005,Moderate
382,"South Korea",2006,Moderate
383,"South Korea",2007,Moderate
384,"South Korea",2008,Moderate
385,"South Korea",2009,Moderate
386,"South Korea",2010,Moderate
387,"South Korea",2011,Moderate
388,"South Korea",2012,Moderate
389,"South Korea",2013,Moderate
390,"South Korea",2014,Moderate
391,"South Korea",2015,Low
392,"South Korea",2016,Moderate
393,"South Korea",2017,Low
394,"South Korea",2018,Moderate
395,"South Korea",2019,Moderate
396,"South Korea",2020,Moderate
397,"South Korea",2021,Moderate
398,"South Korea",2022,Moderate
399,"South Korea",2023,Moderate
400,"South Korea",2024,Moderate
401,Spain,2000,Moderate
402,Spain,2001,Moderate
403,Spain,2002,Moderate
404,Spain,2003,Low
405,Spain,2004,Moderate
406,Spain,2005,Low
407,Spain,2006,High
408,Spain,2007,Moderate
409,Spain,2008,Moderate
410,Spain,2009,Moderate
411,Spain,2010,Moderate
412,Spain,2011,Moderate
413,Spain,2012,Moderate
414,Spain,2013,Moderate
415,Spain,2014,Moderate
416,Spain,2015,Low
417,Spain,2016,Low
418,Spain,2017,Low
419,Spain,2018,Moderate
420,Spain,2019,Moderate
421,Spain,2020,Moderate
422,Spain,2021,Moderate
423,Spain,2022,High
424,Spain,2023,Moderate
425,Spain,2024,Moderate
426,Turkey,2000,Moderate
427,Turkey,2001,Moderate
428,Turkey,2002,Low
429,Turkey,2003,Moderate
430,Turkey,2004,Low
431,Turkey,2005,Moderate
432,Turkey,2006,Low
433,Turkey,2007,Moderate
434,Turkey,2008,Moderate
435,Turkey,2009,Moderate
436,Turkey,2010,Moderate
437,Turkey,2011,Low
438,Turkey,2012,Low
439,Turkey,2013,Low
440,Turkey,2014,Moderate
441,Turkey,2015,Moderate
442,Turkey,2016,Moderate
443,Turkey,2017,Low
444,Turkey,2018,Moderate
445,Turkey,2019,Low
446,Turkey,2020,Moderate
447,Turkey,2021,Moderate
448,Turkey,2022,Moderate
449,Turkey,2023,Moderate
450,Turkey,2024,Moderate
451,UK,2000,Low
452,UK,2001,Moderate
453,UK,2002,Low
454,UK,2003,Low
455,UK,2004,Low
456,UK,2005,Moderate
457,UK,2006,Low
458,UK,2007,Moderate
459,UK,2008,Low
460,UK,2009,Moderate
461,UK,2010,Moderate
462,UK,2011,Moderate
463,UK,2012,Moderate
464,UK,2013,Moderate
465,UK,2014,Low
466,UK,2015,Moderate
467,UK,2016,Moderate
468,UK,2017,Moderate
469,UK,2018,Moderate
470,UK,2019,Moderate
471,UK,2020,Moderate
472,UK,2021,Moderate
473,UK,2022,Moderate
474,UK,2023,Low
475,UK,2024,Low
476,USA,2000,Moderate
477,USA,2001,Low
478,USA,2002,Moderate
479,USA,2003,Moderate
480,USA,2004,Low
481,USA,2005,Low
482,USA,2006,Low
483,USA,2007,Moderate
484,USA,2008,Moderate
485,USA,2009,Moderate
486,USA,2010,High
487,USA,2011,Low
488,USA,2012,Moderate
489,USA,2013,Low
490,USA,2014,Moderate
491,USA,2015,Moderate
492,USA,2016,Moderate
493,USA,2017,Moderate
494,USA,2018,Moderate
495,USA,2019,Moderate
496,USA,2020,Moderate
497,USA,2021,Moderate
498,USA,2022,Moderate
499,USA,2023,Moderate
500,USA,2024,High
