idTiempo,Fecha,Anio,Trimestre,Mes,Nombre_Mes,Dia_Semana
20240624,2024-06-24,2024,2,6,June,Monday
20240625,2024-06-25,2024,2,6,June,Tuesday
20240626,2024-06-26,2024,2,6,June,Wednesday
20240627,2024-06-27,2024,2,6,June,Thursday
20240628,2024-06-28,2024,2,6,June,Friday
20240629,2024-06-29,2024,2,6,June,Saturday
20240630,2024-06-30,2024,2,6,June,Sunday
20240701,2024-07-01,2024,3,7,July,Monday
20240702,2024-07-02,2024,3,7,July,Tuesday
20240703,2024-07-03,2024,3,7,July,Wednesday
20240704,2024-07-04,2024,3,7,July,Thursday
20240705,2024-07-05,2024,3,7,July,Friday
20240706,2024-07-06,2024,3,7,July,Saturday
20240707,2024-07-07,2024,3,7,July,Sunday
20240708,2024-07-08,2024,3,7,July,Monday
20240709,2024-07-09,2024,3,7,July,Tuesday
20240710,2024-07-10,2024,3,7,July,Wednesday
20240711,2024-07-11,2024,3,7,July,Thursday
20240712,2024-07-12,2024,3,7,July,Friday
20240713,2024-07-13,2024,3,7,July,Saturday
20240714,2024-07-14,2024,3,7,July,Sunday
20240715,2024-07-15,2024,3,7,July,Monday
20240716,2024-07-16,2024,3,7,July,Tuesday
20240717,2024-07-17,2024,3,7,July,Wednesday
20240718,2024-07-18,2024,3,7,July,Thursday
20240719,2024-07-19,2024,3,7,July,Friday
20240720,2024-07-20,2024,3,7,July,Saturday
20240721,2024-07-21,2024,3,7,July,Sunday
20240722,2024-07-22,2024,3,7,July,Monday
20240723,2024-07-23,2024,3,7,July,Tuesday
20240724,2024-07-24,2024,3,7,July,Wednesday
20240725,2024-07-25,2024,3,7,July,Thursday
20240726,2024-07-26,2024,3,7,July,Friday
20240727,2024-07-27,2024,3,7,July,Saturday
20240728,2024-07-28,2024,3,7,July,Sunday
20240729,2024-07-29,2024,3,7,July,Monday
20240730,2024-07-30,2024,3,7,July,Tuesday
20240731,2024-07-31,2024,3,7,July,Wednesday
20240801,2024-08-01,2024,3,8,August,Thursday
20240802,2024-08-02,2024,3,8,August,Friday
20240803,2024-08-03,2024,3,8,August,Saturday
20240804,2024-08-04,2024,3,8,August,Sunday
20240805,2024-08-05,2024,3,8,August,Monday
20240806,2024-08-06,2024,3,8,August,Tuesday
20240807,2024-08-07,2024,3,8,August,Wednesday
20240808,2024-08-08,2024,3,8,August,Thursday
20240809,2024-08-09,2024,3,8,August,Friday
20240810,2024-08-10,2024,3,8,August,Saturday
20240811,2024-08-11,2024,3,8,August,Sunday
20240812,2024-08-12,2024,3,8,August,Monday
20240813,2024-08-13,2024,3,8,August,Tuesday
20240814,2024-08-14,2024,3,8,August,Wednesday
20240815,2024-08-15,2024,3,8,August,Thursday
20240816,2024-08-16,2024,3,8,August,Friday
20240817,2024-08-17,2024,3,8,August,Saturday
20240818,2024-08-18,2024,3,8,August,Sunday
20240819,2024-08-19,2024,3,8,August,Monday
20240820,2024-08-20,2024,3,8,August,Tuesday
20240821,2024-08-21,2024,3,8,August,Wednesday
20240822,2024-08-22,2024,3,8,August,Thursday
20240823,2024-08-23,2024,3,8,August,Friday
20240824,2024-08-24,2024,3,8,August,Saturday
20240825,2024-08-25,2024,3,8,August,Sunday
