idGeografia,idEstudiante,idTiempo,Huella_Hidrica,Total_Prompts,Duracion_Total_Sesiones,Numero_Sesiones
1,1,20240723,5.5,11,27.22,1
1,1,20240815,0.5,1,7.68,1
1,1,20240816,1.5,3,10.54,1
1,1,20240823,3.5,7,16.67,1
1,1,20240829,6.0,12,31.03,1
1,1,20241123,1.5,3,16.9,1
1,1,20241128,4.5,9,21.88,1
1,1,20241207,1.5,3,18.56,1
1,1,20241221,0.5,1,2.43,1
1,1,20250101,4.5,9,18.57,1
1,1,20250110,3.0,6,15.28,1
1,1,20250226,3.5,7,27.16,1
1,1,20250416,6.5,13,30.61,1
1,1,20250508,1.5,3,16.47,1
1,1,20250517,1.5,3,13.4,1
1,1,20250528,2.5,5,26.52,1
1,1,20250612,10.0,20,44.52,1
1,2,20240708,8.0,16,35.52,1
1,2,20240718,3.5,7,36.36,2
1,2,20240828,2.5,5,17.58,1
1,2,20241029,1.5,3,10.11,1
1,2,20241031,3.5,7,26.71,1
1,2,20250112,10.0,20,48.37,1
1,2,20250115,0.5,1,5.29,1
1,2,20250126,2.0,4,21.42,1
1,2,20250225,2.0,4,18.08,2
1,2,20250302,0.5,1,3.48,1
1,2,20250326,2.0,4,16.26,1
1,2,20250424,2.5,5,27.25,1
1,2,20250507,7.0,14,48.47,1
1,2,20250510,3.5,7,37.17,1
1,2,20250605,4.0,8,30.43,1
1,3,20240711,3.0,6,18.22,1
1,3,20240917,0.5,1,4.61,1
1,3,20241005,4.0,8,18.1,1
1,3,20241018,8.0,16,39.43,1
1,3,20241023,2.5,5,16.22,1
1,3,20250108,1.0,2,7.36,1
1,3,20250308,3.5,7,17.64,1
1,3,20250508,3.5,7,20.35,1
1,3,20250515,4.5,9,28.57,1
1,3,20250607,3.0,6,16.4,1
1,3,20250622,0.5,1,7.71,1
1,4,20240724,1.0,2,11.38,1
1,4,20240809,9.0,18,80.81,1
1,4,20240821,2.0,4,13.61,1
1,4,20240828,4.0,8,19.29,1
1,4,20240902,1.0,2,12.5,1
1,4,20241011,0.5,1,6.48,1
1,4,20241125,2.5,5,18.78,1
1,4,20241218,0.5,1,4.65,1
1,4,20250204,1.0,2,9.62,1
1,4,20250218,7.5,15,31.73,1
1,4,20250304,2.0,4,14.47,1
1,4,20250323,1.0,2,8.51,1
1,4,20250406,4.5,9,35.53,1
1,4,20250618,3.0,6,28.27,1
1,5,20240703,3.0,6,21.96,1
1,5,20240809,0.5,1,6.08,1
1,5,20241025,1.0,2,10.47,1
1,5,20241030,12.5,25,57.71,1
1,5,20241114,8.5,17,44.28,1
1,5,20241118,4.0,8,20.81,1
1,5,20241215,6.0,12,43.6,1
1,5,20250112,2.0,4,19.53,1
1,5,20250119,5.0,10,33.4,1
1,5,20250201,4.5,9,28.85,1
1,5,20250213,2.0,4,15.46,1
1,5,20250218,1.5,3,13.05,1
1,5,20250406,2.0,4,17.11,1
1,5,20250417,3.0,6,20.18,1
1,5,20250425,3.0,6,24.65,1
1,5,20250516,4.0,8,42.91,1
1,5,20250611,0.5,1,8.09,1
1,6,20240717,5.5,11,25.49,1
1,6,20241002,2.0,4,14.33,1
1,6,20241110,0.5,1,8.15,1
1,6,20241121,3.5,7,27.25,1
1,6,20241203,1.0,2,6.15,1
1,6,20241205,1.0,2,9.55,1
1,6,20250104,4.5,9,31.5,1
1,6,20250303,1.5,3,15.22,1
1,6,20250331,4.0,8,31.69,1
1,6,20250509,1.0,2,5.93,1
1,7,20240728,2.5,5,19.4,1
1,7,20240806,3.5,7,27.99,1
1,7,20241120,1.0,2,12.56,1
1,7,20250117,2.5,5,15.0,1
1,7,20250216,1.5,3,7.79,1
1,7,20250307,3.0,6,21.27,1
1,7,20250428,2.0,4,11.69,1
1,7,20250504,1.0,2,7.61,1
1,8,20240725,2.5,5,12.39,1
1,8,20240821,5.5,11,34.56,1
1,8,20240928,1.0,2,5.55,1
1,8,20241013,2.5,5,23.69,1
1,8,20241025,2.5,5,14.97,1
1,8,20241107,0.5,1,2.38,1
1,8,20250104,6.0,12,46.66,1
1,8,20250115,4.5,9,30.03,1
1,8,20250227,5.5,11,39.57,1
1,8,20250604,9.0,18,51.3,1
1,9,20240624,1.0,2,9.94,1
1,9,20240818,6.0,12,33.82,2
